sale_id,product,category,region,quantity,price,revenue,month
SALE2000,Headphones,Electronics,West,7,1039.13,7273.91,6
SALE2001,Speaker,Accessories,East,19,1573.96,29905.24,11
SALE2002,Monitor,Peripherals,West,9,1976.96,17792.64,12
SALE2003,Speaker,Electronics,East,8,1651.73,13213.84,8
SALE2004,Tablet,Accessories,West,33,938.82,30981.06,9
SALE2005,Phone,Peripherals,East,44,473.36,20827.84,3
SALE2006,Tablet,Peripherals,North,35,664.03,23241.05,8
SALE2007,Speaker,Accessories,West,9,1703.54,15331.86,12
SALE2008,Keyboard,Peripherals,South,22,670.11,14742.42,3
SALE2009,Keyboard,Electronics,East,24,1102.18,26452.32,8
SALE2010,Laptop,Peripherals,East,35,1741.12,60939.2,4
SALE2011,Laptop,Electronics,East,35,1731.12,60589.2,8
SALE2012,Headphones,Peripherals,East,27,1634.96,44143.92,11
SALE2013,Monitor,Peripherals,West,8,223.05,1784.4,4
SALE2014,Webcam,Peripherals,East,3,1992.24,5976.72,10
SALE2015,Webcam,Electronics,East,36,186.16,6701.76,2
SALE2016,Charger,Electronics,East,21,521.27,10946.67,5
SALE2017,Laptop,Electronics,West,25,331.93,8298.25,5
SALE2018,Headphones,Accessories,North,48,1291.16,61975.68,2
SALE2019,Tablet,Electronics,East,37,1886.06,69784.22,1
SALE2020,Monitor,Accessories,South,7,863.45,6044.15,10
SALE2021,Keyboard,Electronics,West,29,1145.32,33214.28,3
SALE2022,Headphones,Peripherals,West,30,177.06,5311.8,11
SALE2023,Webcam,Accessories,West,29,562.34,16307.86,4
SALE2024,Webcam,Electronics,West,33,325.31,10735.23,5
SALE2025,Monitor,Electronics,South,33,1789.0,59037.0,3
SALE2026,Monitor,Peripherals,West,33,1351.68,44605.44,8
SALE2027,Headphones,Peripherals,North,48,168.89,8106.72,11
SALE2028,Headphones,Electronics,North,32,845.33,27050.56,12
SALE2029,Keyboard,Peripherals,North,13,374.43,4867.59,7
SALE2030,Webcam,Electronics,South,18,852.25,15340.5,12
SALE2031,Speaker,Accessories,West,10,1118.55,11185.5,8
SALE2032,Webcam,Peripherals,West,45,1091.83,49132.35,8
SALE2033,Keyboard,Electronics,South,30,1081.13,32433.9,2
SALE2034,Laptop,Accessories,South,18,1971.54,35487.72,2
SALE2035,Tablet,Peripherals,North,26,153.83,3999.58,9
SALE2036,Keyboard,Accessories,South,27,1805.65,48752.55,6
SALE2037,Webcam,Electronics,West,40,442.62,17704.8,2
SALE2038,Webcam,Peripherals,West,9,1155.18,10396.62,6
SALE2039,Monitor,Electronics,East,31,1211.89,37568.59,5
SALE2040,Headphones,Electronics,South,23,775.28,17831.44,3
SALE2041,Webcam,Accessories,South,19,365.66,6947.54,12
SALE2042,Tablet,Accessories,East,24,1601.55,38437.2,9
SALE2043,Keyboard,Peripherals,East,40,396.92,15876.8,3
SALE2044,Tablet,Electronics,West,13,1409.54,18324.02,12
SALE2045,Mouse,Peripherals,North,3,613.24,1839.72,5
SALE2046,Phone,Electronics,West,26,296.02,7696.52,9
SALE2047,Monitor,Peripherals,West,37,1602.18,59280.66,10
SALE2048,Laptop,Electronics,East,43,1243.14,53455.02,1
SALE2049,Monitor,Accessories,North,28,242.73,6796.44,1
