sale_id,product,category,region,quantity,price,revenue,month
SALE2000,Phone,Peripherals,South,35,1458.24,51038.4,1
SALE2001,Monitor,Accessories,South,9,1254.12,11287.08,8
SALE2002,Headphones,Accessories,East,15,1701.97,25529.55,12
SALE2003,Speaker,Electronics,East,43,1648.9,70902.7,4
SALE2004,Phone,Electronics,South,34,752.92,25599.28,2
SALE2005,Headphones,Electronics,South,17,1764.23,29991.91,10
SALE2006,Phone,Electronics,East,24,1009.52,24228.48,3
SALE2007,Monitor,Peripherals,South,45,569.73,25637.85,3
SALE2008,Charger,Electronics,North,8,685.04,5480.32,7
SALE2009,Webcam,Peripherals,West,29,612.01,17748.29,5
SALE2010,Tablet,Electronics,East,11,280.2,3082.2,1
SALE2011,Phone,Electronics,South,4,570.83,2283.32,8
SALE2012,Charger,Peripherals,North,1,210.46,210.46,10
SALE2013,Keyboard,Peripherals,West,45,972.18,43748.1,3
SALE2014,Tablet,Peripherals,West,40,908.53,36341.2,1
SALE2015,Mouse,Peripherals,South,13,1738.24,22597.12,9
SALE2016,Charger,Peripherals,West,25,1865.27,46631.75,9
SALE2017,Keyboard,Peripherals,South,1,1223.75,1223.75,12
SALE2018,Charger,Peripherals,North,47,1708.83,80315.01,10
SALE2019,Headphones,Electronics,East,45,437.03,19666.35,5
SALE2020,Charger,Accessories,East,4,1388.17,5552.68,11
SALE2021,Laptop,Electronics,East,27,353.48,9543.96,12
SALE2022,Headphones,Accessories,West,45,270.07,12153.15,11
SALE2023,Speaker,Peripherals,North,45,730.96,32893.2,4
SALE2024,Webcam,Accessories,North,15,1796.9,26953.5,1
SALE2025,Webcam,Electronics,West,28,267.87,7500.36,5
SALE2026,Tablet,Accessories,West,11,1358.14,14939.54,5
SALE2027,Speaker,Accessories,North,17,1874.24,31862.08,7
SALE2028,Webcam,Peripherals,North,14,337.62,4726.68,4
SALE2029,Phone,Electronics,West,5,516.46,2582.3,9
SALE2030,Keyboard,Accessories,East,19,1201.25,22823.75,2
SALE2031,Speaker,Accessories,North,32,630.27,20168.64,1
SALE2032,Keyboard,Accessories,North,14,23.17,324.38,8
SALE2033,Tablet,Accessories,South,20,1170.45,23409.0,5
SALE2034,Headphones,Accessories,West,33,909.76,30022.08,1
SALE2035,Webcam,Electronics,North,9,1230.82,11077.38,8
SALE2036,Headphones,Electronics,West,33,447.66,14772.78,10
SALE2037,Laptop,Peripherals,East,32,646.74,20695.68,12
SALE2038,Mouse,Accessories,West,4,170.21,680.84,1
SALE2039,Keyboard,Accessories,South,34,413.25,14050.5,9
SALE2040,Webcam,Accessories,East,11,102.9,1131.9,2
SALE2041,Phone,Electronics,North,7,1091.47,7640.29,7
SALE2042,Phone,Electronics,South,21,650.17,13653.57,10
SALE2043,Phone,Peripherals,North,2,1801.93,3603.86,12
SALE2044,Monitor,Peripherals,East,37,1134.12,41962.44,4
SALE2045,Phone,Peripherals,South,9,261.74,2355.66,7
SALE2046,Mouse,Peripherals,East,20,1152.69,23053.8,4
SALE2047,Monitor,Accessories,West,22,1228.49,27026.78,4
SALE2048,Headphones,Electronics,West,26,116.56,3030.56,4
SALE2049,Phone,Electronics,West,42,282.13,11849.46,3
